吊燈,2
吊車,8
吊鐘,20
同,15482
同一,443
同人,208
同伴,14
同化,12
同埋,1082
同場加映,4
同好,51
同學,368
同屋,60
同日,27
同流合污,4
同聲,29
同胞,16
同行,50
名,2028
名副其實,11
名叫,37
名單,41
后,147
向,1863
向來,49
吓,726
吖,282
君,307
君子,48
吟,58
否,431
否則,133
吸,461
吸引,117
吹,492
吹水,70
吹走,4
呀,6171
呀嘛,303
呂,65
呃,239
呆,302
告,511
告吹,3
告示,13
呢,15074
呢個,4705
呢啲,1142
呢度,887
呢邊,60
味,907
味道,87
呻,50
呻笨,3
呼,556
呼吸,130
命,1118
命中,29
命名,21
咀,115
咁,17202
咁上下,103
咁啱,130
咁樣,1452
咋,234
和,779
和尚,8
和平,102
和而不同,3
咗,8759
咩,6838
咪,3185
咪又,179
咪又係,147
咪咪摸摸,2
咪摸,2
咪話,66
咫,3
咫尺,3
咯,171
咳,119
哀,125
哀嚎,1
品,1219
哋,4320
員,1016
哥,926
哨,20
哨子,2
哪,96
哽,26
唐,297
唔,36049
唔似,120
唔使,560
唔使講,22
唔係,5749
唔係呀,106
唔入流,1
唔切,63
唔到,2151
唔同,783
唔多,462
唔好,2820
唔定,64
唔對路,31
唔少,295
唔得,454
唔怪得,81
唔慌,4
唔憂,7
唔掂,115
唔理,257
唔着,6
唔知,2505
唔知幾,119
唔緊要,274
唔落,52
唔見,168
唔記得,286
唔話得,4
唔識,729
唔識死,10
唔通,471
唔錯,103
唔順,82
唞,25
售,73
唯,486
唯一,209
唯利是圖,3
唯有,216
唱,719
唾,7
商,482
商榷,10
商討,11
商議,3
商量,23
啊,657
問,4820
問候,24
問心,11
問津,4
問題,1917
啖,145
啟,139
啟用,3
啦,7317
啩,53
啫,676
啱,1015
啱啱,270
啱啱好,33
啲,7186
啲人,391
啲多,6
啲打,10
善,370
善款,4
喉,112
喎,1366
喙,4
喜,516
喜愛,21
喝,176
單,1992
單位,92
單思,7
單程,16
單車,62
喺,6208
喺度,577
喺度食,5
嗌,138
嗚,185
嗰,2904
嗰個,392
嗰啲,265
嗰度,88
嗰時,110
嗰陣,615
嗱,148
嘅,30734
嘅嘢,775
嘆,210
嘈,238
嘉,192
嘔,134
嘗,368
嘛,917
嘞,239
嘢,4081
嘢玩,6
嘢食,48
嘥,45
嘥心機,1
嘩,558
